1,Centermaq - Soluções em Impressão,"Rua Martin Westphal, 220 - Lácio, Marília - SP, 17539-006, Brasil",+55 14 3311-7888,https://www.centermaq.com/,contato@centermaq.com,"https://www.facebook.com/centermaq.marilia/, https://wa.me/551433117888, https://br.linkedin.com/company/centermaq-comercio-de-maquinas-e-papeis-ltda, https://api.whatsapp.com/send?phone=551433117888&text=Olá!%20Gostaria%20de%20mais%20informações.%20Estou%20entrando%20em%20contato%20pelo%20site., https://www.instagram.com/centermaq_solucoes/",Não encontrado,https://www.google.com/maps/place/Centermaq+-+Solu%C3%A7%C3%B5es+em+Impress%C3%A3o/data=!4m7!3m6!1s0x94bfd71f5544821b:0x85c0b938f6274030!8m2!3d-22.2247553!4d-49.8914511!16s%2Fg%2F1tmxxpt_!19sChIJG4JEVR_Xv5QRMEAn9ji5wIU?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
2,Webline Sistemas,"R. Oscár Leopoldino da Silva, 119 - Jardim Dirceu, Marília - SP, 17501-140, Brasil",+55 14 3414-1697,http://www.weblinesistemas.com/,Não encontrado,Não encontrado,Não encontrado,https://www.google.com/maps/place/Webline+Sistemas/data=!4m7!3m6!1s0x94bfd7475f69ee01:0x6817c3427cbc5b85!8m2!3d-22.2243988!4d-49.945306!16s%2Fg%2F1tdljd74!19sChIJAe5pX0fXv5QRhVu8fELDF2g?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
3,Data Tec Digital,"R. Santa Isabel, 205 - Boa Vista, Marília - SP, 17501-540, Brasil",+55 14 99713-8763,,Não encontrado,Não encontrado,Não encontrado,https://www.google.com/maps/place/Data+Tec+Digital/data=!4m7!3m6!1s0x94bfd7b12417c06b:0x28c6097e0dbb3b1e!8m2!3d-22.2247579!4d-49.9501678!16s%2Fg%2F11vhb_yrv0!19sChIJa8AXJLHXv5QRHju7DX4Jxig?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
4,Tec Unimar - Parque Tecnológico,"R. Pedro Alpino, 401 - Jardim Araxa, Marília - SP, 17525-030, Brasil",+55 14 2105-4088,http://tec.unimar.br/,"recrutamento@unimar.br, falecom@unimar.br","https://www.instagram.com/unimaroficial/, https://www.instagram.com/reel/DBzFkMExtIy/?utm_source=ig_embed&utm_campaign=loading, https://www.linkedin.com/school/universidade-de-mar%C3%ADlia/, https://www.facebook.com/universidadedemarilia/, https://api.whatsapp.com/send?phone=5514998492952",Não encontrado,https://www.google.com/maps/place/Tec+Unimar+-+Parque+Tecnol%C3%B3gico/data=!4m7!3m6!1s0x94bfd7d472acc3c3:0x95b27fc754d7b90d!8m2!3d-22.2402955!4d-49.9649354!16s%2Fg%2F11wnfb8j2z!19sChIJw8OsctTXv5QRDbnXVMd_spU?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
5,Insight - Tecnologia,"R. Yara, 49 - A Definir, Marília - SP, 17513-370, Brasil",+55 14 3316-2611,http://www.insight-ti.com.br/,site@insight-ti.com.br,"https://www.facebook.com/insightecnologia, https://br.linkedin.com/company/insight-ti, https://www.instagram.com/insight.tecnologia/",Não encontrado,https://www.google.com/maps/place/Insight+-+Tecnologia/data=!4m7!3m6!1s0x94bfd732510ba543:0x219dfb1dfa30d68d!8m2!3d-22.2058699!4d-49.9375033!16s%2Fg%2F11gnp4yclg!19sChIJQ6ULUTLXv5QRjdYw-h37nSE?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
6,GUESS Soluções Tecnológicas,"R. Mecenas Pinto Bueno, 1107 - Jardim Maria Izabel, Marília - SP, 17516-030, Brasil",+55 14 3311-2222,http://guesstecnologia.com.br/,"comercial@guesstech.com.br, contato@guesstech.com.br","https://instagram.com/guesstechoficial, https://wa.me/5514998552220?text=Ol%C3%A1!%20Quero%20conhecer%20o%20Guess%20One.","A Guess facilitou muito a minha vida, hoje pago cem proprietários apertando apenas um botão.; 0cadastros de proprietários,inquilinos e fiadores",https://www.google.com/maps/place/GUESS+Solu%C3%A7%C3%B5es+Tecnol%C3%B3gicas/data=!4m7!3m6!1s0x94bfd75349d28f5d:0xae01bd34f025242e!8m2!3d-22.2219273!4d-49.9338266!16s%2Fg%2F1tdjs7dq!19sChIJXY_SSVPXv5QRLiQl8DS9Aa4?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
7,MR Tech - Soluções em Tecnologia,"R. Marly Canto de Godoy Pereira, 206 - Marília, SP, 17527-640, Brasil",,,Não encontrado,Não encontrado,Não encontrado,https://www.google.com/maps/place/MR+Tech+-+Solu%C3%A7%C3%B5es+em+Tecnologia/data=!4m7!3m6!1s0x94bfd7e9ebb1a8b1:0xe606cf55e85a4dc4!8m2!3d-22.2172766!4d-49.9866951!16s%2Fg%2F11pv63851z!19sChIJsaix6-nXv5QRxE1a6FXPBuY?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
8,PERSYS Projetos de Inovação Tecnológica,"R. Pedro Alpino, 401 - Sl 1, piso superior - Jardim Araxa, Marília - SP, 17525-030, Brasil",+55 14 3434-0744,http://www.persys.com.br/,Não encontrado,Não encontrado,Não encontrado,https://www.google.com/maps/place/PERSYS+Projetos+de+Inova%C3%A7%C3%A3o+Tecnol%C3%B3gica/data=!4m7!3m6!1s0x94bfd773fbd08df9:0x8e98324c98ed5fc5!8m2!3d-22.2402955!4d-49.9649354!16s%2Fg%2F1yfj43fqz!19sChIJ-Y3Q-3PXv5QRxV_tmEwymI4?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
9,Transportadora Almeida de Marília,"R. Ver. Ariel Fragata, 171 - Parque das Industrias, Marília - SP, 17539-068, Brasil",+55 14 3417-6134,http://www.transportadoraalmeida.com.br/,Não encontrado,Não encontrado,Não encontrado,https://www.google.com/maps/place/Transportadora+Almeida+de+Mar%C3%ADlia/data=!4m7!3m6!1s0x94bfd0adb0000001:0xc7b76adab7abbdd5!8m2!3d-22.2204814!4d-49.8833531!16s%2Fg%2F1tslkv0d!19sChIJAQAAsK3Qv5QR1b2rt9pqt8c?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
10,Fábrica de Códigos,"Av. Santo Antônio, 3636 - Santa Tereza, Marília - SP, 17507-220, Brasil",+55 14 2105-0022,http://fabricadecodigos.com.br/,contato@fabricadecodigos.com.br,"https://www.facebook.com/fabricadecodigos/, https://api.whatsapp.com/send?phone=5514997670022, https://www.instagram.com/fabricadecodigos.oficial/, https://www.linkedin.com/company/f%C3%A1brica-de-c%C3%B3digos/",Não encontrado,https://www.google.com/maps/place/F%C3%A1brica+de+C%C3%B3digos/data=!4m7!3m6!1s0x94bfd6e02043704d:0x791945883b8adb8e!8m2!3d-22.1927462!4d-49.9622176!16s%2Fg%2F11cpq7zm4d!19sChIJTXBDIODWv5QRjtuKO4hFGXk?authuser=0&hl=pt-BR&rclk=1,Não Contatado,Busca Ativa Maps,
